2424|Bead Diamond|0|29|Item[DiamondSpar]|Magic / Crystallization|N/A
1149|Black Wand|58|29|Weapon[Wand]|Titanium / Jade|MAtk +40 | Atk +18
766|Blue Steel Armor|58|29|Armor[Body]|Steel|Def +19 | MDef +10
764|Bronze Armor|58|29|Armor[Body]|Copper / Flower|Def +24 | Spd +5
1785|Crescent Machete|58|29|Weapon[Blade]|Wood / Steel / Titanium|Atk +48 | Def +10
1048|Daffadilly Shoes|58|29|Armor[Shoes]|Grass / Flower / Leaf|Spd +29
2217|Dusk War Halberd|58|29|Weapon[Spear]|Gold / Iron|Atk +40 | Def +18
986|Eagle Cuffs|58|29|Armor[Arm]|Iron|Def +22 | Spd +7
1429|Evil Ring|58|29|Armor[Special]|Jade / Grass|Atk +18 | MAtk +11
2263|Formal Gloves|58|29|Armor[Arm]|Fur / Nylon|Def +29
1600|Gold Staff|58|29|Weapon[Wand]|Tin / Corundum|MAtk +42 | MaxSp +80
2281|Gray Boots|58|29|Armor[Shoes]|Feather / Grass|Def +16 | MDef +13
1056|Green Clothes|58|29|Armor[Body]|Leaf / Flower|Spd +29
1277|Green Woolen Clothes|58|29|Armor[Body]|Leaf / Leather|Spd +21 | Def +8
763|Heavy Armor|58|29|Armor[Body]|Iron / Leather|Def +33 | Spd -4
2508|Ice Crystal Helmet|58|29|Armor[Head]|Crystallization / Diamond|Atk +20 | Def +9
1353|Jade Wand|58|29|Weapon[Wand]|Silver / Jade|MAtk +29 | Spd +29
1004|Knight War Boots|58|29|Armor[Shoes]|Steel|Def +31 | Spd -2
1466|Legendary Crown|58|29|Armor[Head]|Titanium / Magic|Atk +18 | Spd +11
988|Mysterious Bracers|58|29|Armor[Arm]|Platinum|Def +20 | Atk +9
1295|Nether World Boots|58|29|Armor[Shoes]|Leather / Grass|Def +17 | Spd +12
765|Night Wear|58|29|Armor[Body]|Grass / Flower|MDef +17 | Spd +12
2703|Palemoss Boots|58|29|Armor[Shoes]|Nylon / Leather / Fur|Def +29
546|Pure Iron Trident|58|29|Weapon[Spear]|Pure Iron / Copper|Atk +58
590|Red Falchion|58|29|Weapon[Blade]|Titanium / Steel|Atk +43 | Spd +15
1372|Red Net Shoes|58|29|Armor[Shoes]|Leaf / Flower|Spd +19 | MAtk +10
987|Resistent Bracers|58|29|Armor[Arm]|Flower / Silver|MDef +31 | MAtk -2
1005|Rock Boots|58|29|Armor[Shoes]|Magic / Titanium|Def +19 | Atk +10
1209|Sea Loricae|58|29|Armor[Body]|Titanium / Iron / Steel|Def +19 | MaxHp +100
1328|Smart Helmet|58|29|Armor[Head]|Iron / Flower|Def +29
1062|Wave Iron Sword|58|29|Weapon[Sword]|Iron|Atk +29 | Spd +29
